Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 130.0.0.0,,,16-10-2024 19:00:06,16-10-2024 19:05:18,5m - 12.482s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 130.0.0.0,,,16-10-2024 19:00:06,16-10-2024 19:00:35,29.510s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 19:00:06,16-10-2024 19:00:09,3.479s,PASSED
driver = getWebDriver(),Chrome 130.0.0.0,,,16-10-2024 19:00:09,16-10-2024 19:00:09,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:09,16-10-2024 19:00:11,1.179s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:11,16-10-2024 19:00:18,7.948s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:18,16-10-2024 19:00:29,10.260s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 130.0.0.0,,,16-10-2024 19:00:29,16-10-2024 19:00:29,0.000s,PASSED
xpath(xpathTranfer)).click(),Chrome 130.0.0.0,,,16-10-2024 19:00:29,16-10-2024 19:00:30,0.925s,PASSED
textUser = xpath(xpathTextAccount))).getText(),Chrome 130.0.0.0,,,16-10-2024 19:00:30,16-10-2024 19:00:35,5.645s,PASSED
if (textUser == username),Chrome 130.0.0.0,,,16-10-2024 19:00:35,16-10-2024 19:00:35,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 130.0.0.0,,,16-10-2024 19:00:35,16-10-2024 19:00:35,0.001s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 130.0.0.0,,,16-10-2024 19:00:35,16-10-2024 19:01:54,1m - 18.519s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 19:00:35,16-10-2024 19:00:38,2.639s,PASSED
driver = getWebDriver(),Chrome 130.0.0.0,,,16-10-2024 19:00:38,16-10-2024 19:00:38,0.000s,PASSED
amount = 100000,Chrome 130.0.0.0,,,16-10-2024 19:00:38,16-10-2024 19:00:38,0.003s,PASSED
amountMax = 9999999999,Chrome 130.0.0.0,,,16-10-2024 19:00:38,16-10-2024 19:00:38,0.004s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 130.0.0.0,,,16-10-2024 19:00:38,16-10-2024 19:00:38,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:38,16-10-2024 19:00:39,0.863s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:39,16-10-2024 19:00:40,1.444s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:00:40,16-10-2024 19:00:50,9.573s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 130.0.0.0,,,16-10-2024 19:00:50,16-10-2024 19:00:50,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 130.0.0.0,,,16-10-2024 19:00:50,16-10-2024 19:00:51,0.905s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 130.0.0.0,,,16-10-2024 19:00:51,16-10-2024 19:01:01,9.702s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:01,16-10-2024 19:01:01,0.331s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 130.0.0.0,,,16-10-2024 19:01:01,16-10-2024 19:01:01,0.356s,PASSED
clicked = driver.findElement(By.xpath(xpathClicked)),Chrome 130.0.0.0,,,16-10-2024 19:01:01,16-10-2024 19:01:01,0.221s,PASSED
click().perform(),Chrome 130.0.0.0,,,16-10-2024 19:01:01,16-10-2024 19:01:02,0.143s,PASSED
xpath(xpathConfirm)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:02,16-10-2024 19:01:02,0.469s,PASSED
"Assert.assertEquals(xpath(xpathChonViChuyen1)).getText(), ""Vui lòng chọn ví chuyển."")",Chrome 130.0.0.0,,,16-10-2024 19:01:02,16-10-2024 19:01:03,0.449s,PASSED
"Assert.assertEquals(xpath(xpathNhapSoTienChuyen)).getText(), ""Vui lòng nhập số tiền chuyển."")",Chrome 130.0.0.0,,,16-10-2024 19:01:03,16-10-2024 19:01:03,0.221s,PASSED
"Assert.assertEquals(xpath(xpathChonViNhan1)).getText(), ""Vui lòng chọn ví nhận."")",Chrome 130.0.0.0,,,16-10-2024 19:01:03,16-10-2024 19:01:03,0.233s,PASSED
navigate().refresh(),Chrome 130.0.0.0,,,16-10-2024 19:01:03,16-10-2024 19:01:03,0.335s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 130.0.0.0,,,16-10-2024 19:01:03,16-10-2024 19:01:15,12.156s,PASSED
xpath(xpathDepositTextbox)).sendKeys(amount),Chrome 130.0.0.0,,,16-10-2024 19:01:15,16-10-2024 19:01:16,0.284s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:16,16-10-2024 19:01:16,0.301s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 130.0.0.0,,,16-10-2024 19:01:16,16-10-2024 19:01:16,0.375s,PASSED
xpath(xpathClicked)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:16,16-10-2024 19:01:17,0.251s,PASSED
xpath(xpathChonViNhan)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:17,16-10-2024 19:01:17,0.454s,PASSED
xpath(xpathThuHo)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:17,16-10-2024 19:01:17,0.247s,PASSED
xpath(xpathConfirm)).click(),Chrome 130.0.0.0,,,16-10-2024 19:01:17,16-10-2024 19:01:18,0.457s,PASSED
"Assert.assertEquals(xpath(xpathChonViChuyen1)).getText(), ""Vui lòng chọn ví chuyển."")",Chrome 130.0.0.0,,,16-10-2024 19:01:18,16-10-2024 19:01:18,0.439s,PASSED
navigate().refresh(),Chrome 130.0.0.0,,,16-10-2024 19:01:18,16-10-2024 19:01:18,0.130s,PASSED
