Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Nạp tiền,Chrome 129.0.0.0,,,12-10-2024 21:53:03,12-10-2024 22:00:07,7m - 3.886s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Nạp tiền/TC_01_Kiểm tra mở màn hình nạp tiền,Chrome 129.0.0.0,,,12-10-2024 21:53:03,12-10-2024 21:53:22,18.559s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 21:53:03,12-10-2024 21:53:10,6.561s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 21:53:10,12-10-2024 21:53:10,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:53:10,12-10-2024 21:53:11,1.350s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:53:11,12-10-2024 21:53:15,3.565s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions Deposit""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:53:15,12-10-2024 21:53:16,0.964s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,12-10-2024 21:53:16,12-10-2024 21:53:16,0.001s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,12-10-2024 21:53:16,12-10-2024 21:53:19,2.790s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:19,0.013s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:19,0.234s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:19,0.099s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:19,0.255s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:19,0.165s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,12-10-2024 21:53:19,12-10-2024 21:53:20,0.265s,PASSED
