Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 129.0.0.0,,,16-10-2024 17:11:05,16-10-2024 17:17:06,6m - 0.239s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 129.0.0.0,,,16-10-2024 17:11:05,16-10-2024 17:12:00,54.968s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 17:11:05,16-10-2024 17:11:15,9.418s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 17:11:15,16-10-2024 17:11:15,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:11:15,16-10-2024 17:11:21,6.474s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:11:21,16-10-2024 17:11:27,6.000s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:11:27,16-10-2024 17:12:00,32.992s,ERROR
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,16-10-2024 17:12:00,16-10-2024 17:12:00,0.001s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 129.0.0.0,,,16-10-2024 17:12:00,16-10-2024 17:13:25,1m - 24.988s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 17:12:00,16-10-2024 17:12:09,8.954s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 17:12:09,16-10-2024 17:12:09,0.000s,PASSED
amount = 100000,Chrome 129.0.0.0,,,16-10-2024 17:12:09,16-10-2024 17:12:09,0.002s,PASSED
amountMax = 9999999999,Chrome 129.0.0.0,,,16-10-2024 17:12:09,16-10-2024 17:12:09,0.001s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 129.0.0.0,,,16-10-2024 17:12:09,16-10-2024 17:12:09,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:12:09,16-10-2024 17:12:10,0.870s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:12:10,16-10-2024 17:12:15,4.452s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 17:12:15,16-10-2024 17:12:25,10.041s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,16-10-2024 17:12:25,16-10-2024 17:12:25,0.000s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,16-10-2024 17:12:25,16-10-2024 17:12:26,0.930s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 129.0.0.0,,,16-10-2024 17:12:26,16-10-2024 17:12:33,7.370s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 129.0.0.0,,,16-10-2024 17:12:33,16-10-2024 17:12:33,0.351s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 129.0.0.0,,,16-10-2024 17:12:33,16-10-2024 17:12:34,0.342s,PASSED
clicked = driver.findElement(By.xpath(xpathClicked)),Chrome 129.0.0.0,,,16-10-2024 17:12:34,16-10-2024 17:12:34,0.221s,PASSED
click().perform(),Chrome 129.0.0.0,,,16-10-2024 17:12:34,16-10-2024 17:12:34,0.137s,PASSED
xpath(xpathConfirm)).click(),Chrome 129.0.0.0,,,16-10-2024 17:12:34,16-10-2024 17:12:35,0.467s,PASSED
"Assert.assertEquals(xpath(xpathChonViChuyen1)).getText(), ""Vui lòng chọn ví chuyển."")",Chrome 129.0.0.0,,,16-10-2024 17:12:35,16-10-2024 17:12:35,0.439s,PASSED
"Assert.assertEquals(xpath(xpathNhapSoTienChuyen)).getText(), ""Vui lòng nhập số tiền chuyển."")",Chrome 129.0.0.0,,,16-10-2024 17:12:35,16-10-2024 17:12:35,0.237s,PASSED
"Assert.assertEquals(xpath(xpathChonViNhan1)).getText(), ""Vui lòng chọn ví nhận."")",Chrome 129.0.0.0,,,16-10-2024 17:12:35,16-10-2024 17:12:36,0.235s,PASSED
navigate().refresh(),Chrome 129.0.0.0,,,16-10-2024 17:12:36,16-10-2024 17:12:36,0.144s,PASSED
