Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quản lý dịch vụ merchant,Chrome 129.0.0.0,,,12-10-2024 20:26:07,12-10-2024 20:34:48,8m - 41.502s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_01_Kiểm tra chức năng search,Chrome 129.0.0.0,,,12-10-2024 20:26:07,12-10-2024 20:26:21,14.355s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 20:26:07,12-10-2024 20:26:12,5.360s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:12,12-10-2024 20:26:13,1.171s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:13,12-10-2024 20:26:17,3.419s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:17,12-10-2024 20:26:20,3.085s,PASSED
"verifyElementPresent(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/headerMenu""), 3)",Chrome 129.0.0.0,,,12-10-2024 20:26:20,12-10-2024 20:26:21,1.253s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,12-10-2024 20:26:21,12-10-2024 20:26:21,0.004s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_02_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ,Chrome 129.0.0.0,,,12-10-2024 20:26:21,12-10-2024 20:26:35,13.756s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 20:26:21,12-10-2024 20:26:24,2.831s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:24,12-10-2024 20:26:25,0.985s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:25,12-10-2024 20:26:29,3.746s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:29,12-10-2024 20:26:32,3.070s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 20:26:32,12-10-2024 20:26:32,0.001s,PASSED
"dropdown = driver.findElement(By.name(""service_type""))",Chrome 129.0.0.0,,,12-10-2024 20:26:32,12-10-2024 20:26:33,1.260s,PASSED
"xpath(""//option[@value='TRANSFER_BANK']"")).click()",Chrome 129.0.0.0,,,12-10-2024 20:26:33,12-10-2024 20:26:33,0.270s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/searchBtn""))",Chrome 129.0.0.0,,,12-10-2024 20:26:33,12-10-2024 20:26:33,0.278s,PASSED
"xpath = ""//label[contains(@for, 'transfer_provider_EPAY')]""",Chrome 129.0.0.0,,,12-10-2024 20:26:33,12-10-2024 20:26:33,0.001s,PASSED
elements = new java.util.ArrayList(),Chrome 129.0.0.0,,,12-10-2024 20:26:33,12-10-2024 20:26:33,0.002s,PASSED
elements = driver.findElements(By.xpath(xpath)),Chrome 129.0.0.0,,,12-10-2024 20:26:33,12-10-2024 20:26:35,1.239s,PASSED
"println(""Số lượng phần tử: "" + elements.size())",Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:35,0.003s,PASSED
expectedElements = 25,Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:35,0.001s,PASSED
if (elements.size() == expectedElements),Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:35,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:35,0.000s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_03_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ và Active,Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:49,14.619s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 20:26:35,12-10-2024 20:26:40,4.880s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:40,12-10-2024 20:26:41,1.098s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:41,12-10-2024 20:26:42,1.550s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:26:42,12-10-2024 20:26:45,3.054s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 20:26:45,12-10-2024 20:26:45,0.001s,PASSED
"dropdownService = driver.findElement(By.name(""service_type""))",Chrome 129.0.0.0,,,12-10-2024 20:26:45,12-10-2024 20:26:47,1.279s,PASSED
"dropdownStt = driver.findElement(By.name(""is_active""))",Chrome 129.0.0.0,,,12-10-2024 20:26:47,12-10-2024 20:26:47,0.225s,PASSED
"xpath(""//option[@value='TRANSFER_BANK']"")).click()",Chrome 129.0.0.0,,,12-10-2024 20:26:47,12-10-2024 20:26:47,0.259s,PASSED
"xpath(""//option[@value=""1""]"")).click()",Chrome 129.0.0.0,,,12-10-2024 20:26:47,12-10-2024 20:26:47,0.257s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/searchBtn""))",Chrome 129.0.0.0,,,12-10-2024 20:26:47,12-10-2024 20:26:48,0.481s,PASSED
"xpathPayOn = ""//label[contains(@for, 'transfer_provider_EPAY')]""",Chrome 129.0.0.0,,,12-10-2024 20:26:48,12-10-2024 20:26:48,0.001s,PASSED
"xpathSttActive = ""//td//span[contains(text(),'Đang hoạt động')]""",Chrome 129.0.0.0,,,12-10-2024 20:26:48,12-10-2024 20:26:48,0.001s,PASSED
PayOns = new java.util.ArrayList(),Chrome 129.0.0.0,,,12-10-2024 20:26:48,12-10-2024 20:26:48,0.002s,PASSED
SttActives = new java.util.ArrayList(),Chrome 129.0.0.0,,,12-10-2024 20:26:48,12-10-2024 20:26:48,0.001s,PASSED
PayOns = driver.findElements(By.xpath(xpathPayOn)),Chrome 129.0.0.0,,,12-10-2024 20:26:48,12-10-2024 20:26:49,1.247s,PASSED
SttActives = driver.findElements(By.xpath(xpathSttActive)),Chrome 129.0.0.0,,,12-10-2024 20:26:49,12-10-2024 20:26:49,0.228s,PASSED
