Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quản lý dịch vụ merchant,Chrome 130.0.0.0,,,16-10-2024 19:35:20,16-10-2024 19:41:17,5m - 56.810s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_01_Kiểm tra chức năng search,Chrome 130.0.0.0,,,16-10-2024 19:35:21,16-10-2024 19:35:34,13.188s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 19:35:21,16-10-2024 19:35:23,2.665s,PASSED
waitTime = Integer.parseInt(waitSecond),Chrome 130.0.0.0,,,16-10-2024 19:35:23,16-10-2024 19:35:23,0.149s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:23,16-10-2024 19:35:26,2.565s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), waitTime, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:26,16-10-2024 19:35:29,3.251s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:29,16-10-2024 19:35:32,3.114s,PASSED
"verifyElementPresent(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/headerMenu""), 3)",Chrome 130.0.0.0,,,16-10-2024 19:35:32,16-10-2024 19:35:34,1.379s,PASSED
Start listener action : sampleAfterTestCase,Chrome 130.0.0.0,,,16-10-2024 19:35:34,16-10-2024 19:35:34,0.002s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_02_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ,Chrome 130.0.0.0,,,16-10-2024 19:35:34,16-10-2024 19:35:47,13.289s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 19:35:34,16-10-2024 19:35:36,2.736s,PASSED
waitTime = Integer.parseInt(waitSecond),Chrome 130.0.0.0,,,16-10-2024 19:35:37,16-10-2024 19:35:37,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:37,16-10-2024 19:35:37,0.981s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), waitTime, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:37,16-10-2024 19:35:41,3.518s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:41,16-10-2024 19:35:44,3.018s,PASSED
driver = getWebDriver(),Chrome 130.0.0.0,,,16-10-2024 19:35:44,16-10-2024 19:35:44,0.002s,PASSED
"dropdown = driver.findElement(By.name(""service_type""))",Chrome 130.0.0.0,,,16-10-2024 19:35:44,16-10-2024 19:35:45,1.178s,PASSED
"xpath(""//option[@value='TRANSFER_BANK']"")).click()",Chrome 130.0.0.0,,,16-10-2024 19:35:45,16-10-2024 19:35:45,0.242s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/searchBtn""))",Chrome 130.0.0.0,,,16-10-2024 19:35:45,16-10-2024 19:35:46,0.263s,PASSED
"xpath = ""//label[contains(@for, 'transfer_provider_EPAY')]""",Chrome 130.0.0.0,,,16-10-2024 19:35:46,16-10-2024 19:35:46,0.001s,PASSED
elements = new java.util.ArrayList(),Chrome 130.0.0.0,,,16-10-2024 19:35:46,16-10-2024 19:35:46,0.000s,PASSED
elements = driver.findElements(By.xpath(xpath)),Chrome 130.0.0.0,,,16-10-2024 19:35:46,16-10-2024 19:35:47,1.262s,PASSED
"println(""Số lượng phần tử: "" + elements.size())",Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:35:47,0.004s,PASSED
expectedElements = 25,Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:35:47,0.001s,PASSED
if (elements.size() == expectedElements),Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:35:47,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:35:47,0.000s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_03_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ và Active,Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:36:06,19.084s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 19:35:47,16-10-2024 19:35:49,2.461s,PASSED
waitTime = Integer.parseInt(waitSecond),Chrome 130.0.0.0,,,16-10-2024 19:35:49,16-10-2024 19:35:49,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 19:35:49,16-10-2024 19:35:50,0.975s,PASSED
