Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,13-10-2024 22:02:36,13-10-2024 22:11:28,8m - 51.579s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,13-10-2024 22:02:36,13-10-2024 22:02:54,17.662s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 22:02:36,13-10-2024 22:02:42,5.555s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 22:02:42,13-10-2024 22:02:42,0.005s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 22:02:42,13-10-2024 22:02:43,1.340s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 22:02:43,13-10-2024 22:02:45,1.639s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 22:02:45,13-10-2024 22:02:47,1.973s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 22:02:47,13-10-2024 22:02:48,0.459s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 22:02:48,13-10-2024 22:02:48,0.006s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,13-10-2024 22:02:48,13-10-2024 22:02:48,0.248s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,13-10-2024 22:02:48,13-10-2024 22:02:48,0.041s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,13-10-2024 22:02:48,13-10-2024 22:02:51,2.865s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:51,0.014s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:51,0.241s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:51,0.100s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:51,0.245s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:51,0.162s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,13-10-2024 22:02:51,13-10-2024 22:02:52,0.274s,PASSED
