Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 129.0.0.0,,,16-10-2024 18:42:06,16-10-2024 18:47:28,5m - 21.620s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 129.0.0.0,,,16-10-2024 18:42:06,16-10-2024 18:42:52,45.350s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 18:42:06,16-10-2024 18:42:10,3.733s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 18:42:10,16-10-2024 18:42:10,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:10,16-10-2024 18:42:15,4.520s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:15,16-10-2024 18:42:20,5.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:20,16-10-2024 18:42:52,32.004s,ERROR
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,16-10-2024 18:42:52,16-10-2024 18:42:52,0.002s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 129.0.0.0,,,16-10-2024 18:42:52,16-10-2024 18:44:15,1m - 23.208s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 18:42:52,16-10-2024 18:42:53,1.601s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 18:42:53,16-10-2024 18:42:53,0.001s,PASSED
amount = 100000,Chrome 129.0.0.0,,,16-10-2024 18:42:53,16-10-2024 18:42:53,0.002s,PASSED
amountMax = 9999999999,Chrome 129.0.0.0,,,16-10-2024 18:42:53,16-10-2024 18:42:53,0.001s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 129.0.0.0,,,16-10-2024 18:42:53,16-10-2024 18:42:53,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:53,16-10-2024 18:42:56,2.102s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:56,16-10-2024 18:42:57,1.435s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 18:42:57,16-10-2024 18:43:15,17.771s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,16-10-2024 18:43:15,16-10-2024 18:43:15,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,16-10-2024 18:43:15,16-10-2024 18:43:16,0.887s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 129.0.0.0,,,16-10-2024 18:43:16,16-10-2024 18:43:21,5.672s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 129.0.0.0,,,16-10-2024 18:43:21,16-10-2024 18:43:22,0.354s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 129.0.0.0,,,16-10-2024 18:43:22,16-10-2024 18:43:22,0.362s,PASSED
