Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,13-10-2024 12:09:18,13-10-2024 12:15:17,5m - 58.779s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,13-10-2024 12:09:18,13-10-2024 12:09:34,15.904s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 12:09:18,13-10-2024 12:09:22,3.369s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 12:09:22,13-10-2024 12:09:22,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 12:09:22,13-10-2024 12:09:23,1.376s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 12:09:23,13-10-2024 12:09:27,3.627s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 12:09:27,13-10-2024 12:09:27,0.259s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 12:09:27,13-10-2024 12:09:28,0.461s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 12:09:28,13-10-2024 12:09:28,0.009s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,13-10-2024 12:09:28,13-10-2024 12:09:28,0.255s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,13-10-2024 12:09:28,13-10-2024 12:09:28,0.042s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,13-10-2024 12:09:28,13-10-2024 12:09:31,2.860s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:31,0.015s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:31,0.240s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:31,0.085s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:31,0.245s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:31,0.159s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,13-10-2024 12:09:31,13-10-2024 12:09:32,0.263s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,13-10-2024 12:09:32,13-10-2024 12:09:32,0.482s,PASSED
"Assert.assertEquals(xpath(xpathAccountName)).getText(), username)",Chrome 129.0.0.0,,,13-10-2024 12:09:32,13-10-2024 12:09:33,0.747s,PASSED
xpath(xpathMoneyOff)).click(),Chrome 129.0.0.0,,,13-10-2024 12:09:33,13-10-2024 12:09:33,0.430s,PASSED
"Assert.assertEquals(xpath(xpathActiveItem)).getText(), ""RÚT TIỀN THÔNG THƯỜNG VÀ CHI NỘI ĐỊA"")",Chrome 129.0.0.0,,,13-10-2024 12:09:33,13-10-2024 12:09:34,0.870s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,13-10-2024 12:09:34,13-10-2024 12:09:34,0.003s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_02_Kiểm tra validate trường thông tin,Chrome 129.0.0.0,,,13-10-2024 12:09:34,13-10-2024 12:10:03,28.573s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 12:09:34,13-10-2024 12:09:37,2.860s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 12:09:37,13-10-2024 12:09:37,0.001s,PASSED
