Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 129.0.0.0,,,16-10-2024 16:24:53,16-10-2024 16:31:01,6m - 8.260s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 129.0.0.0,,,16-10-2024 16:24:53,16-10-2024 16:25:41,48.235s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 16:24:53,16-10-2024 16:24:59,5.466s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 16:24:59,16-10-2024 16:24:59,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:24:59,16-10-2024 16:25:00,1.259s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:25:00,16-10-2024 16:25:19,19.083s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:25:19,16-10-2024 16:25:31,12.330s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,16-10-2024 16:25:31,16-10-2024 16:25:31,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,16-10-2024 16:25:31,16-10-2024 16:25:34,2.205s,PASSED
textUser = xpath(xpathTextAccount))).getText(),Chrome 129.0.0.0,,,16-10-2024 16:25:34,16-10-2024 16:25:41,7.807s,PASSED
if (textUser == username),Chrome 129.0.0.0,,,16-10-2024 16:25:41,16-10-2024 16:25:41,0.009s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,16-10-2024 16:25:41,16-10-2024 16:25:41,0.002s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 129.0.0.0,,,16-10-2024 16:25:41,16-10-2024 16:27:24,1m - 42.976s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 16:25:41,16-10-2024 16:25:49,7.760s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 16:25:49,16-10-2024 16:25:49,0.001s,PASSED
