Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,10-10-2024 13:46:54,10-10-2024 14:03:22,16m - 28.230s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,10-10-2024 13:46:54,10-10-2024 13:48:10,1m - 16.504s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,10-10-2024 13:46:54,10-10-2024 13:47:19,24.597s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,10-10-2024 13:47:19,10-10-2024 13:47:19,0.024s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 13:47:19,10-10-2024 13:47:23,3.639s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 13:47:23,10-10-2024 13:47:26,3.381s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,10-10-2024 13:47:26,10-10-2024 13:47:28,2.102s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 13:47:28,10-10-2024 13:47:29,0.464s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,10-10-2024 13:47:29,10-10-2024 13:47:29,0.027s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,10-10-2024 13:47:29,10-10-2024 13:47:29,0.315s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,10-10-2024 13:47:29,10-10-2024 13:47:29,0.185s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,10-10-2024 13:47:29,10-10-2024 13:47:34,4.265s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,10-10-2024 13:47:34,10-10-2024 13:47:34,0.163s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,10-10-2024 13:47:34,10-10-2024 13:47:34,0.298s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,10-10-2024 13:47:34,10-10-2024 13:47:34,0.326s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,10-10-2024 13:47:34,10-10-2024 13:47:35,0.579s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,10-10-2024 13:47:35,10-10-2024 13:47:36,0.590s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,10-10-2024 13:47:36,10-10-2024 13:47:36,0.429s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,10-10-2024 13:47:36,10-10-2024 13:47:37,0.525s,PASSED
