Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quản lý dịch vụ merchant,Chrome 129.0.0.0,,,12-10-2024 20:01:31,12-10-2024 20:07:34,6m - 3.739s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_01_Kiểm tra chức năng search,Chrome 129.0.0.0,,,12-10-2024 20:01:31,12-10-2024 20:01:49,18.442s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 20:01:31,12-10-2024 20:01:37,6.450s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:37,12-10-2024 20:01:38,1.158s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:38,12-10-2024 20:01:45,6.449s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:45,12-10-2024 20:01:48,3.089s,PASSED
"verifyElementPresent(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/headerMenu""), 3)",Chrome 129.0.0.0,,,12-10-2024 20:01:48,12-10-2024 20:01:49,1.233s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,12-10-2024 20:01:49,12-10-2024 20:01:49,0.003s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_02_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ,Chrome 129.0.0.0,,,12-10-2024 20:01:49,12-10-2024 20:02:08,19.026s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 20:01:49,12-10-2024 20:01:53,3.516s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:53,12-10-2024 20:01:54,0.990s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:54,12-10-2024 20:01:57,3.574s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 20:01:57,12-10-2024 20:02:00,3.032s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 20:02:00,12-10-2024 20:02:00,0.001s,PASSED
"dropdown = driver.findElement(By.name(""service_type""))",Chrome 129.0.0.0,,,12-10-2024 20:02:00,12-10-2024 20:02:03,2.946s,PASSED
"xpath(""//option[@value='TRANSFER_BANK']"")).click()",Chrome 129.0.0.0,,,12-10-2024 20:02:03,12-10-2024 20:02:03,0.249s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/searchBtn""))",Chrome 129.0.0.0,,,12-10-2024 20:02:03,12-10-2024 20:02:04,0.271s,PASSED
"xpath = ""//label[contains(@for, 'transfer_provider_EPAY')]""",Chrome 129.0.0.0,,,12-10-2024 20:02:04,12-10-2024 20:02:04,0.001s,PASSED
elements = new java.util.ArrayList(),Chrome 129.0.0.0,,,12-10-2024 20:02:04,12-10-2024 20:02:04,0.000s,PASSED
elements = driver.findElements(By.xpath(xpath)),Chrome 129.0.0.0,,,12-10-2024 20:02:04,12-10-2024 20:02:08,4.369s,PASSED
"println(""Số lượng phần tử: "" + elements.size())",Chrome 129.0.0.0,,,12-10-2024 20:02:08,12-10-2024 20:02:08,0.002s,PASSED
expectedElements = 25,Chrome 129.0.0.0,,,12-10-2024 20:02:08,12-10-2024 20:02:08,0.000s,PASSED
