Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 130.0.0.0,,,16-10-2024 21:59:57,16-10-2024 22:05:18,5m - 20.544s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 130.0.0.0,,,16-10-2024 21:59:57,16-10-2024 22:00:35,37.586s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 21:59:57,16-10-2024 21:59:59,1.994s,PASSED
driver = getWebDriver(),Chrome 130.0.0.0,,,16-10-2024 21:59:59,16-10-2024 21:59:59,0.005s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 21:59:59,16-10-2024 22:00:02,2.719s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 22:00:02,16-10-2024 22:00:18,16.029s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 22:00:18,16-10-2024 22:00:29,10.460s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 130.0.0.0,,,16-10-2024 22:00:29,16-10-2024 22:00:29,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 130.0.0.0,,,16-10-2024 22:00:29,16-10-2024 22:00:30,0.893s,PASSED
textUser = xpath(xpathTextAccount))).getText(),Chrome 130.0.0.0,,,16-10-2024 22:00:30,16-10-2024 22:00:35,5.380s,PASSED
if (textUser == username),Chrome 130.0.0.0,,,16-10-2024 22:00:35,16-10-2024 22:00:35,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 130.0.0.0,,,16-10-2024 22:00:35,16-10-2024 22:00:35,0.002s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 130.0.0.0,,,16-10-2024 22:00:35,16-10-2024 22:01:55,1m - 19.631s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 130.0.0.0,,,16-10-2024 22:00:35,16-10-2024 22:00:38,2.699s,PASSED
driver = getWebDriver(),Chrome 130.0.0.0,,,16-10-2024 22:00:38,16-10-2024 22:00:38,0.000s,PASSED
amount = 100000,Chrome 130.0.0.0,,,16-10-2024 22:00:38,16-10-2024 22:00:38,0.002s,PASSED
amountMax = 9999999999,Chrome 130.0.0.0,,,16-10-2024 22:00:38,16-10-2024 22:00:38,0.001s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 130.0.0.0,,,16-10-2024 22:00:38,16-10-2024 22:00:38,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 22:00:38,16-10-2024 22:00:39,0.866s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 22:00:39,16-10-2024 22:00:40,1.490s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,16-10-2024 22:00:40,16-10-2024 22:00:50,9.672s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 130.0.0.0,,,16-10-2024 22:00:50,16-10-2024 22:00:50,0.000s,PASSED
xpath(xpathTranfer)).click(),Chrome 130.0.0.0,,,16-10-2024 22:00:50,16-10-2024 22:00:51,0.876s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 130.0.0.0,,,16-10-2024 22:00:51,16-10-2024 22:01:01,10.856s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 130.0.0.0,,,16-10-2024 22:01:01,16-10-2024 22:01:02,0.332s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 130.0.0.0,,,16-10-2024 22:01:02,16-10-2024 22:01:02,0.353s,PASSED
clicked = driver.findElement(By.xpath(xpathClicked)),Chrome 130.0.0.0,,,16-10-2024 22:01:02,16-10-2024 22:01:02,0.220s,PASSED
click().perform(),Chrome 130.0.0.0,,,16-10-2024 22:01:02,16-10-2024 22:01:03,0.140s,PASSED
xpath(xpathConfirm)).click(),Chrome 130.0.0.0,,,16-10-2024 22:01:03,16-10-2024 22:01:03,0.468s,PASSED
