Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,10-10-2024 15:38:33,10-10-2024 15:45:44,7m - 10.951s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,10-10-2024 15:38:33,10-10-2024 15:39:07,33.856s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,10-10-2024 15:38:34,10-10-2024 15:38:45,11.273s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,10-10-2024 15:38:45,10-10-2024 15:38:45,0.019s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 15:38:45,10-10-2024 15:38:49,4.070s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 15:38:49,10-10-2024 15:38:52,2.231s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,10-10-2024 15:38:52,10-10-2024 15:38:53,1.685s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,10-10-2024 15:38:53,10-10-2024 15:38:54,0.476s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,10-10-2024 15:38:54,10-10-2024 15:38:54,0.048s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,10-10-2024 15:38:54,10-10-2024 15:38:54,0.314s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,10-10-2024 15:38:54,10-10-2024 15:38:54,0.156s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,10-10-2024 15:38:54,10-10-2024 15:38:58,4.149s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,10-10-2024 15:38:58,10-10-2024 15:38:59,0.073s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,10-10-2024 15:38:59,10-10-2024 15:38:59,0.345s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,10-10-2024 15:38:59,10-10-2024 15:38:59,0.567s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,10-10-2024 15:38:59,10-10-2024 15:39:00,0.557s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,10-10-2024 15:39:00,10-10-2024 15:39:01,0.773s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,10-10-2024 15:39:01,10-10-2024 15:39:01,0.548s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,10-10-2024 15:39:01,10-10-2024 15:39:02,0.715s,PASSED
"Assert.assertEquals(xpath(xpathAccountName)).getText(), username)",Chrome 129.0.0.0,,,10-10-2024 15:39:02,10-10-2024 15:39:05,2.799s,PASSED
xpath(xpathMoneyOff)).click(),Chrome 129.0.0.0,,,10-10-2024 15:39:05,10-10-2024 15:39:06,1.315s,PASSED
