Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 129.0.0.0,,,12-10-2024 21:47:21,12-10-2024 21:52:32,5m - 10.661s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 129.0.0.0,,,12-10-2024 21:47:21,12-10-2024 21:47:53,31.815s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 21:47:22,12-10-2024 21:47:27,5.597s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 21:47:27,12-10-2024 21:47:27,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:47:27,12-10-2024 21:47:29,1.369s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:47:29,12-10-2024 21:47:32,3.692s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:47:32,12-10-2024 21:47:42,9.868s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,12-10-2024 21:47:42,12-10-2024 21:47:42,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,12-10-2024 21:47:42,12-10-2024 21:47:43,1.034s,PASSED
textUser = xpath(xpathTextAccount))).getText(),Chrome 129.0.0.0,,,12-10-2024 21:47:43,12-10-2024 21:47:53,10.151s,PASSED
if (textUser == username),Chrome 129.0.0.0,,,12-10-2024 21:47:53,12-10-2024 21:47:53,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,12-10-2024 21:47:53,12-10-2024 21:47:53,0.002s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 129.0.0.0,,,12-10-2024 21:47:53,12-10-2024 21:49:27,1m - 33.529s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 21:47:53,12-10-2024 21:47:56,2.940s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 21:47:56,12-10-2024 21:47:56,0.000s,PASSED
amount = 100000,Chrome 129.0.0.0,,,12-10-2024 21:47:56,12-10-2024 21:47:56,0.002s,PASSED
amountMax = 9999999999,Chrome 129.0.0.0,,,12-10-2024 21:47:56,12-10-2024 21:47:56,0.002s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:47:56,12-10-2024 21:47:57,0.969s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:47:57,12-10-2024 21:48:01,3.301s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:48:01,12-10-2024 21:48:18,17.719s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,12-10-2024 21:48:18,12-10-2024 21:48:18,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,12-10-2024 21:48:18,12-10-2024 21:48:19,1.051s,PASSED
wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathTextAccount))),Chrome 129.0.0.0,,,12-10-2024 21:48:19,12-10-2024 21:48:25,5.742s,PASSED
xpath(xpathTaiKhoanNhan)).click(),Chrome 129.0.0.0,,,12-10-2024 21:48:25,12-10-2024 21:48:25,0.347s,PASSED
xpath(xpathSearchTextbox1)).sendKeys(username),Chrome 129.0.0.0,,,12-10-2024 21:48:25,12-10-2024 21:48:26,0.408s,PASSED
xpath(xpathClicked)).click(),Chrome 129.0.0.0,,,12-10-2024 21:48:26,12-10-2024 21:48:26,0.265s,PASSED
xpath(xpathConfirm)).click(),Chrome 129.0.0.0,,,12-10-2024 21:48:26,12-10-2024 21:48:27,0.480s,PASSED
"Assert.assertEquals(xpath(xpathChonViChuyen1)).getText(), ""Vui lòng chọn ví chuyển."")",Chrome 129.0.0.0,,,12-10-2024 21:48:27,12-10-2024 21:48:27,0.448s,PASSED
"Assert.assertEquals(xpath(xpathNhapSoTienChuyen)).getText(), ""Vui lòng nhập số tiền chuyển."")",Chrome 129.0.0.0,,,12-10-2024 21:48:27,12-10-2024 21:48:27,0.242s,PASSED
