Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,13-10-2024 10:09:15,13-10-2024 10:16:11,6m - 56.297s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,13-10-2024 10:09:15,13-10-2024 10:09:39,24.401s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 10:09:15,13-10-2024 10:09:26,11.519s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 10:09:26,13-10-2024 10:09:26,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:26,13-10-2024 10:09:28,1.441s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:28,13-10-2024 10:09:31,3.439s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 10:09:31,13-10-2024 10:09:31,0.267s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:31,13-10-2024 10:09:32,0.459s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 10:09:32,13-10-2024 10:09:32,0.008s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,13-10-2024 10:09:32,13-10-2024 10:09:32,0.255s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,13-10-2024 10:09:32,13-10-2024 10:09:32,0.044s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,13-10-2024 10:09:32,13-10-2024 10:09:36,3.290s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:36,0.010s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:36,0.248s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:36,0.111s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:36,0.252s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:36,0.155s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,13-10-2024 10:09:36,13-10-2024 10:09:37,0.284s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,13-10-2024 10:09:37,13-10-2024 10:09:37,0.497s,PASSED
"Assert.assertEquals(xpath(xpathAccountName)).getText(), username)",Chrome 129.0.0.0,,,13-10-2024 10:09:37,13-10-2024 10:09:38,0.758s,PASSED
xpath(xpathMoneyOff)).click(),Chrome 129.0.0.0,,,13-10-2024 10:09:38,13-10-2024 10:09:38,0.441s,PASSED
"Assert.assertEquals(xpath(xpathActiveItem)).getText(), ""RÚT TIỀN THÔNG THƯỜNG VÀ CHI NỘI ĐỊA"")",Chrome 129.0.0.0,,,13-10-2024 10:09:38,13-10-2024 10:09:39,0.768s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,13-10-2024 10:09:39,13-10-2024 10:09:39,0.003s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_02_Kiểm tra validate trường thông tin,Chrome 129.0.0.0,,,13-10-2024 10:09:39,13-10-2024 10:10:21,41.727s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 10:09:39,13-10-2024 10:09:43,3.552s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 10:09:43,13-10-2024 10:09:43,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:43,13-10-2024 10:09:44,0.979s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:44,13-10-2024 10:09:59,15.461s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 10:09:59,13-10-2024 10:09:59,0.266s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 10:09:59,13-10-2024 10:10:00,0.447s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 10:10:00,13-10-2024 10:10:00,0.001s,PASSED
